x,y
0.5,-2.4729882424372747
0.5510204081632653,-1.9314214180389553
0.6020408163265306,-1.3816809651397304
0.653061224489796,-0.869790952910659
0.7040816326530612,-0.4268061784859795
0.7551020408163265,0.053614490490094036
0.8061224489795918,0.3770052231511897
0.8571428571428572,0.744832946941739
0.9081632653061225,1.1381909046213934
0.9591836734693877,1.4466153243828144
1.010204081632653,1.7584745121658194
1.0612244897959184,2.045027901307344
1.1122448979591837,2.3641653328990166
1.163265306122449,2.64276463038393
1.2142857142857144,2.845899017190814
1.2653061224489797,3.11418600427827
1.316326530612245,3.355099476478663
1.3673469387755102,3.565959594790258
1.4183673469387754,3.7286225524622614
1.469387755102041,3.925615731962259
1.5204081632653061,4.171253026059113
1.5714285714285714,4.2749227721349365
1.6224489795918369,4.442766847208256
1.6734693877551021,4.6159455416702535
1.7244897959183674,4.747050363800875
1.7755102040816326,4.8286799103663
1.8265306122448979,4.988782288224528
1.8775510204081634,5.083458642808339
1.9285714285714286,5.159036192737899
1.9795918367346939,5.307027083070073
2.0306122448979593,5.369499120085855
2.0816326530612246,5.419197151079372
2.13265306122449,5.5081863253289445
2.183673469387755,5.544844907442282
2.2346938775510203,5.603449100219468
2.2857142857142856,5.653546789195492
2.336734693877551,5.740556704735684
2.387755102040816,5.723492061885634
2.438775510204082,5.755507012597096
2.489795918367347,5.793841323862015
2.5408163265306123,5.794822910884945
2.5918367346938775,5.876429678604175
2.642857142857143,5.86360925606723
2.693877551020408,5.846271405809923
2.7448979591836737,5.830226521338841
2.795918367346939,5.860228486572779
2.8469387755102042,5.864583535594686
2.8979591836734695,5.820672136091755
2.9489795918367347,5.846670262686575
3.0,5.833480739037783
